wavelength,species,dl,sensitivity,photoreceptor
305,thornback ray,unknown,0.156185732,rod
306,thornback ray,unknown,0.160186797,rod
307,thornback ray,unknown,0.164187838,rod
308,thornback ray,unknown,0.168183885,rod
309,thornback ray,unknown,0.17216987,rod
310,thornback ray,unknown,0.176140634,rod
311,thornback ray,unknown,0.180090942,rod
312,thornback ray,unknown,0.184015492,rod
313,thornback ray,unknown,0.187908932,rod
314,thornback ray,unknown,0.19176587,rod
315,thornback ray,unknown,0.195580889,rod
316,thornback ray,unknown,0.199348564,rod
317,thornback ray,unknown,0.20306347,rod
318,thornback ray,unknown,0.206720207,rod
319,thornback ray,unknown,0.210313406,rod
320,thornback ray,unknown,0.213837751,rod
321,thornback ray,unknown,0.21728799,rod
322,thornback ray,unknown,0.220658955,rod
323,thornback ray,unknown,0.223945575,rod
324,thornback ray,unknown,0.227142894,rod
325,thornback ray,unknown,0.230246086,rod
326,thornback ray,unknown,0.23325047,rod
327,thornback ray,unknown,0.236151527,rod
328,thornback ray,unknown,0.238944916,rod
329,thornback ray,unknown,0.241626487,rod
330,thornback ray,unknown,0.244192297,rod
331,thornback ray,unknown,0.246638626,rod
332,thornback ray,unknown,0.248961986,rod
333,thornback ray,unknown,0.25115914,rod
334,thornback ray,unknown,0.253227115,rod
335,thornback ray,unknown,0.255163207,rod
336,thornback ray,unknown,0.256965002,rod
337,thornback ray,unknown,0.258630381,rod
338,thornback ray,unknown,0.26015753,rod
339,thornback ray,unknown,0.261544956,rod
340,thornback ray,unknown,0.262791486,rod
341,thornback ray,unknown,0.263896282,rod
